                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4848,                 2.7739,                  1.494,                0.00517,                0.93939,                0.29031,                0.17099,                  1.468,                 3.1057,                 1.4163,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.4028,                 2.7238,                  1.225,                0.00533,                 0.9697,                0.65638,                0.39607,                 1.4456,                 3.0899,                  1.395,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.3668,                 2.5832,                  1.321,                0.00533,                 0.9697,                0.77393,                0.44708,                 1.4204,                 3.0554,                 1.3744,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.2825,                 2.2739,                  1.227,                0.00517,                0.93939,                0.81144,                0.47451,                 1.3382,                 2.9808,                 1.3191,             0.00013168,             0.00013168,             0.00013168
                      5,                 1.3253,                 1.8902,                  1.216,                0.00517,                0.93939,                0.81101,                0.49193,                 1.3665,                 2.8157,                 1.3576,             0.00016574,             0.00016574,             0.00016574
                      6,                 1.2378,                 1.5358,                 1.1973,                      1,                0.44067,                0.80504,                0.47378,                 1.4047,                 2.6425,                 1.3876,             0.00019822,             0.00019822,             0.00019822
                      7,                  1.335,                 1.4769,                 1.2446,                0.95169,                0.54545,                0.82028,                0.45705,                 1.5198,                  2.464,                 1.4301,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.2599,                 1.4548,                 1.2108,                0.91831,                0.68158,                0.83238,                 0.4568,                 1.5422,                 2.4013,                 1.4632,             0.00025842,             0.00025842,             0.00025842
                      9,                 1.1203,                 1.4014,                 1.1101,                0.92269,                0.72345,                0.83133,                0.48895,                 1.5619,                 2.3678,                 1.4676,             0.00028614,             0.00028614,             0.00028614
                     10,                 1.2564,                 1.3827,                 1.2216,                0.92239,                0.72053,                0.83932,                 0.4963,                 1.5632,                 2.3298,                 1.4865,             0.00031228,             0.00031228,             0.00031228
                     11,                 1.2117,                 1.3592,                 1.2002,                0.94677,                0.69697,                 0.8471,                0.48475,                 1.5451,                 2.3411,                   1.48,             0.00033684,             0.00033684,             0.00033684
                     12,                 1.1418,                 1.3055,                 1.1515,                      1,                0.71747,                0.85598,                 0.4713,                 1.5622,                 2.3708,                 1.4698,             0.00035981,             0.00035981,             0.00035981
                     13,                 1.0127,                 1.3041,                 1.1311,                0.95723,                0.67851,                0.85475,                 0.4319,                 1.6279,                 2.3955,                 1.4712,              0.0003812,              0.0003812,              0.0003812
                     14,                 1.2229,                 1.4371,                 1.1273,                0.95823,                0.69517,                0.85878,                 0.4216,                 1.5962,                 2.3819,                 1.4912,               0.000401,               0.000401,               0.000401
                     15,                 1.1504,                 1.4225,                 1.1977,                0.92224,                0.71902,                 0.8733,                 0.4491,                 1.5867,                 2.3598,                  1.523,             0.00041922,             0.00041922,             0.00041922
