                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2517,                  2.639,                 1.6936,                0.00339,                      1,                0.32892,                0.11653,                 1.4328,                  3.343,                 2.1322,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.2033,                 2.4478,                 1.6442,                0.00339,                      1,                 0.8862,                0.51912,                0.83453,                 2.9319,                 1.5596,             0.00013723,             0.00013723,             0.00013723
                      3,                0.97499,                 1.9068,                 1.4566,                0.00339,                      1,                0.97723,                0.72409,                0.73963,                 2.6975,                 1.4854,             0.00021129,             0.00021129,             0.00021129
                      4,                0.98128,                 1.5547,                 1.4301,                0.00848,                      1,                0.94373,                 0.6781,                0.77556,                 2.6501,                 1.4817,             0.00028218,             0.00028218,             0.00028218
                      5,                0.89477,                 1.3355,                 1.3789,                0.00339,                      1,                0.89434,                0.60244,                0.95979,                 2.7987,                 1.6649,              0.0003499,              0.0003499,              0.0003499
                      6,                0.89058,                 1.2315,                 1.3539,                0.06698,                      1,                0.86739,                0.48563,                 1.2382,                 2.8259,                 2.0445,             0.00041446,             0.00041446,             0.00041446
                      7,                0.97669,                 1.1546,                 1.4172,                0.93094,                0.23681,                0.80351,                0.41892,                 1.2187,                 2.7429,                 2.2155,             0.00047585,             0.00047585,             0.00047585
                      8,                0.92413,                 1.2241,                 1.4007,                0.91859,                0.79185,                0.89828,                 0.5142,                 1.3236,                 2.3774,                 2.2025,             0.00053407,             0.00053407,             0.00053407
                      9,                0.94502,                 1.2002,                 1.3648,                0.94391,                0.91228,                0.95833,                0.65336,                 1.1058,                  1.949,                 1.8189,             0.00058912,             0.00058912,             0.00058912
                     10,                0.93102,                 1.1686,                  1.378,                0.96429,                0.94736,                0.98132,                0.68368,                 1.0108,                 2.1929,                 1.7967,               0.000641,               0.000641,               0.000641
                     11,                0.89229,                 1.1663,                 1.3698,                0.89329,                0.88121,                0.95351,                0.64842,                0.99015,                 2.2197,                 1.7622,             0.00068972,             0.00068972,             0.00068972
                     12,                0.89935,                 1.1231,                 1.3567,                0.88632,                0.95758,                0.96938,                0.69715,                 0.9252,                 1.7433,                 1.6789,             0.00073527,             0.00073527,             0.00073527
                     13,                0.92103,                  1.128,                 1.3713,                0.98148,                0.92955,                 0.9884,                0.68988,                 0.9585,                 1.7403,                 1.7206,             0.00077765,             0.00077765,             0.00077765
                     14,                0.89113,                 1.0652,                 1.3307,                0.91527,                0.91228,                0.97991,                0.69867,                0.92523,                 1.7423,                 1.6763,             0.00081686,             0.00081686,             0.00081686
                     15,                0.99482,                 1.0922,                  1.347,                 0.8979,                0.78947,                0.91886,                0.54043,                 1.0058,                 1.9559,                 1.7007,              0.0008529,              0.0008529,              0.0008529
                     16,                0.87189,                 1.0324,                 1.3158,                0.91826,                0.87719,                0.93064,                0.56264,                 1.0392,                 1.9174,                 1.7546,             0.00088578,             0.00088578,             0.00088578
                     17,                0.91183,                 1.0845,                 1.3095,                0.82951,                0.89474,                0.93707,                0.57664,                 1.0597,                 1.7961,                 1.7332,             0.00091549,             0.00091549,             0.00091549
                     18,                0.89456,                0.99006,                 1.3215,                0.78044,                0.70175,                0.84424,                0.42972,                 1.3652,                 2.1522,                 2.1494,             0.00094203,             0.00094203,             0.00094203
                     19,                0.87423,                0.98687,                   1.27,                0.79822,                0.77193,                0.83909,                0.45241,                 1.2865,                 2.1414,                 1.9764,              0.0009654,              0.0009654,              0.0009654
                     20,                0.88608,                0.97916,                 1.3152,                0.66842,                0.75439,                 0.7689,                0.42025,                 1.3159,                 2.1514,                  1.972,              0.0009856,              0.0009856,              0.0009856
                     21,                0.93661,                 1.0357,                 1.3536,                0.81207,                0.52632,                0.62428,                0.27109,                 1.7505,                 2.3885,                 2.4916,              0.0010026,              0.0010026,              0.0010026
                     22,                0.93713,                0.98646,                 1.3435,                 0.8086,                0.57895,                0.68246,                0.29692,                 1.5643,                 2.3279,                 2.2456,              0.0010165,              0.0010165,              0.0010165
                     23,                0.81793,                0.86951,                 1.2489,                  0.716,                0.63158,                0.67379,                0.34398,                 1.3492,                 2.1593,                 2.0058,              0.0010272,              0.0010272,              0.0010272
                     24,                0.86985,                0.96421,                 1.3412,                0.90543,                0.87719,                0.93057,                0.65605,                0.94841,                 1.5303,                 1.6044,              0.0010347,              0.0010347,              0.0010347
                     25,                0.81448,                0.86848,                 1.2635,                0.92612,                      1,                0.98286,                 0.7396,                0.94738,                 1.3054,                 1.6971,              0.0010391,              0.0010391,              0.0010391
                     26,                0.93251,                0.91936,                 1.3252,                 0.9993,                0.98246,                0.99434,                0.77737,                0.88683,                   1.13,                 1.6142,                0.00101,                0.00101,                0.00101
                     27,                0.75719,                0.81655,                 1.2391,                0.97855,                0.98246,                0.99343,                0.80711,                0.76858,                 1.0674,                 1.4039,                0.00101,                0.00101,                0.00101
                     28,                 0.8175,                0.87019,                 1.3008,                0.92753,                0.98246,                0.98465,                0.78301,                0.79087,                 1.1577,                 1.4105,              0.0009704,              0.0009704,              0.0009704
                     29,                0.77251,                0.80016,                 1.2594,                0.93105,                0.98246,                0.98364,                0.79469,                0.72433,                 1.1574,                 1.3436,              0.0009308,              0.0009308,              0.0009308
                     30,                0.78085,                0.84316,                 1.2062,                0.96553,                0.98297,                0.99238,                  0.845,                0.65065,                  1.058,                 1.2711,              0.0008912,              0.0008912,              0.0008912
                     31,                0.80168,                0.82199,                 1.2037,                0.98039,                      1,                0.99448,                0.84102,                0.63348,                0.97532,                 1.2557,              0.0008516,              0.0008516,              0.0008516
                     32,                0.81458,                0.84919,                 1.3228,                      1,                0.99717,                  0.995,                 0.8504,                0.61424,                0.94568,                 1.2354,               0.000812,               0.000812,               0.000812
                     33,                0.72667,                0.79734,                 1.2107,                0.99771,                      1,                  0.995,                0.83616,                0.65468,                0.96459,                 1.2655,              0.0007724,              0.0007724,              0.0007724
                     34,                0.72295,                0.79093,                 1.2278,                0.99502,                      1,                  0.995,                0.82618,                0.69231,                 1.0083,                 1.3104,              0.0007328,              0.0007328,              0.0007328
                     35,                0.75409,                0.80099,                 1.2178,                0.99514,                      1,                  0.995,                0.83324,                0.67042,                 1.0083,                 1.2696,              0.0006932,              0.0006932,              0.0006932
                     36,                0.81825,                0.83259,                 1.2367,                0.98114,                      1,                0.99483,                0.84876,                0.62589,                0.99496,                  1.208,              0.0006536,              0.0006536,              0.0006536
                     37,                0.67986,                0.69632,                 1.1788,                0.98237,                0.97744,                0.99134,                0.86012,                0.60338,                0.94197,                 1.1842,               0.000614,               0.000614,               0.000614
                     38,                0.65734,                0.66172,                 1.1431,                0.94771,                      1,                0.99067,                0.87569,                 0.5863,                0.83888,                 1.1579,              0.0005744,              0.0005744,              0.0005744
                     39,                0.69553,                0.74426,                 1.1888,                0.97559,                      1,                  0.995,                0.87502,                0.57938,                0.79206,                 1.1379,              0.0005348,              0.0005348,              0.0005348
                     40,                0.70039,                0.70335,                 1.1393,                0.99789,                      1,                  0.995,                0.85448,                0.60194,                0.81905,                 1.1481,              0.0004952,              0.0004952,              0.0004952
                     41,                0.69558,                 1.4011,                 1.2962,                0.99721,                      1,                  0.995,                0.87595,                0.57636,                0.78808,                 1.1569,              0.0004556,              0.0004556,              0.0004556
                     42,                0.61858,                 1.3819,                 1.2027,                 0.9977,                      1,                  0.995,                0.84989,                 0.6734,                0.83634,                 1.3333,               0.000416,               0.000416,               0.000416
                     43,                0.56466,                 1.1514,                 1.1431,                      1,                0.99666,                  0.995,                 0.7865,                0.81914,                0.92956,                 1.5382,              0.0003764,              0.0003764,              0.0003764
                     44,                0.59096,                0.98949,                  1.154,                0.99428,                0.98246,                0.99466,                0.77832,                0.83194,                 1.0339,                 1.5186,              0.0003368,              0.0003368,              0.0003368
                     45,                0.56682,                0.98128,                 1.1953,                 0.9933,                0.98246,                0.99466,                0.81283,                0.73162,                  1.063,                 1.3529,              0.0002972,              0.0002972,              0.0002972
                     46,                0.50689,                0.96184,                 1.0674,                0.99638,                0.98246,                0.99466,                0.85996,                0.61122,                0.97726,                 1.1982,              0.0002576,              0.0002576,              0.0002576
                     47,                0.54842,                 1.0004,                 1.1827,                      1,                0.99878,                  0.995,                0.87319,                0.55291,                 0.9082,                 1.1359,               0.000218,               0.000218,               0.000218
                     48,                0.48952,                0.89671,                 1.1418,                0.99876,                      1,                  0.995,                0.88395,                0.52987,                0.84317,                  1.116,              0.0001784,              0.0001784,              0.0001784
